product_id,quantity,wholesale_cost,sale_price,supplier_id
RAQRJ3BRC80N,4631,429.2,769.56,KKARISPB
PEMP3JGKNQ4I,4857,415.55,567.23,GOFGWMHT
PNUIH6T1IYQQ,3609,403.42,470.39,XWGVAYRB
XLS48IBKVC7C,3738,374.4,571.71,AORTVRJK
N86F81P9GM8Q,5793,370.51,688.04,RNJCIUYL
YFS5JKX7GG1L,2021,137.65,161.05,RLSLWIJL
ITB6IJOF7R60,1138,133.37,149.37,KKARISPB
9JRRFY6ETMNZ,4954,45563,52124,TTNTZICM
UD935PCMFV42,426,3873,6053,VROJQKAT
F517MJ2QLSS0,4781,39276,61899,LTMCLIKO
LBH6UWAEK4IK,5375,39808,51631,SRVZELTU
DVT9D3FRMO29,576,4027,4619,IEQQZVXQ
GVP9YL85130Q,556,4079,7534,LFHBLKHY
0HVE2APON3H1,606,4397,6406,YHVDEOGN
23MMPG0QKR6O,4364,45282,6987,AYRCBWOS
XMJ64VDTNZ6G,4525,3564,4847,GVAGELSL
VOUV0LVXCONV,4955,3615,51767,GPITYYOL
ILU3BUCPU962,1649,12582,20307,WNCIKAZH
VOM5G7U145XU,1933,11205,18544,YDAZLCXS
BN7LW1E2MF0T,284,1054,1789,YGPSFNGF
2DP5C7QQQPVM,5091,38485,53648,GVAGELSL
P38SNDXB4XGP,3956,38748,65755,GVAGELSL
66U8VF8IUDU4,1730,12007,16798,YGPSFNGF
K4O1C1RG387L,3312,43609,51241,YGPSFNGF
B4GZFXZ8O3IP,1616,12007,16498,GTTZRPID
W0T4D4SRIKX8,4923,43609,5486,HNDLTJYU
NIS1D6UKC5WU,2048,12748,15871,TRJOUVJM
AOBXP4GBLR2A,1477,12582,16206,IJQFBKWU
E8H6NTV51EE4,3447,32762,59594,SRVZELTU
Y1GYCX0GPBGZ,1335,10197,16652,KEKAHFDF
UQGOQ8ZXFJDA,5066,3888,53382,SRVZELTU
K6L1TKWMAJ7S,5585,32762,39183,XWGVAYRB
5FCCCHAF44FA,2676,11684,13518,QJEFCBRL
SZRQQ6FOFXZ3,875,3571,4753,GOFGWMHT
GSQBVFZ9RM81,121,529,979,XEUXXZUP
4N680LBBMTBV,734,4614,5431,UCLCUSLA
7CZBBANHRUX7,3826,41284,71174,GTTZRPID
D83PGEWTTY0Z,1412,12748,24043,RVPCSDXG
4HSR3X2GC0FV,3720,38616,54371,DQPANBWY
TCOD87QXNWIK,4616,38616,62983,YGGDUMLL
JCPMLK6ZVOKG,5486,40879,73214,SRVZELTU
36P9EF23T8S0,4408,40075,75341,HKKADSEQ
JR5PEORH6PQU,4000,3888,5451,VGXRNQAJ
RPUFFRUO9TQ1,5094,38748,63004,RVPCSDXG
SNZQGIVT3T24,3010,41014,72882,KOMANXUE
CP1FHGLSBFR1,4784,34753,52512,FXUUGNNI
